county_name,county_fips,swing_score_100,margin_change_pct,latest_abs_margin_pct,turnout_latest
YUMA,04027,65.68456209111405,20.99179381101257,26.408677751980967,1063870
NAVAJO,04017,60.323933749472104,11.7356476135289,14.087873422617426,1065214
GRAHAM,04009,56.25735571504272,28.442812782780567,53.49420304972512,517686
GREENLEE,04011,56.21179204999896,20.39081991634543,37.00765675657032,57988
COCHISE,04003,54.543747245140864,14.543638656271229,27.077935324724656,852938
GILA,04007,54.25162345951302,21.72792932692397,42.20356918256757,531102
PINAL,04021,54.1287822596806,14.808628763687981,28.140768104945877,3376674
MARICOPA,04013,52.43712645225236,1.8910203310145202,3.713781874215105,188437346
LA PAZ,04012,52.222419782311434,28.60829683915165,58.87479174676407,124848
MOHAVE,04015,50.0,30.81043872537716,66.17559658007477,1840742
COCONINO,04005,48.21487391052872,6.8512848830251,19.179634921009757,1439798
YAVAPAI,04025,43.664388517803815,8.56731834787119,28.389995014159986,1993646
PIMA,04019,42.61230114486074,0.40918640687407004,12.942763414063108,9558886
APACHE,04001,39.983426517302824,6.1115784905076405,27.94287156136921,697516
SANTA CRUZ,04023,34.91990082286128,1.36531701453675,24.516836214688176,312006
