county_name,county_fips,swing_score_100,margin_change_pct,latest_abs_margin_pct,turnout_latest
MINERAL,32021,63.133707497280135,8.82534696553947,15.538813095318904,88398.0
ESMERALDA,32009,57.52683270284529,12.01995950729568,28.00496846932925,20932.0
STOREY,32029,55.50763310938409,7.6371982645401,17.11170670372576,120888.0
DOUGLAS,32005,52.520784968912096,6.03652634695856,14.571504010205894,1530096.0
PERSHING,32027,52.0593405495031,8.88532628092049,22.78636195410807,86464.0
CLARK,32003,50.81994275280922,1.08370232883794,1.889883695059158,40855530.0
WASHOE,32031,50.0,0.52042009070257,0.8481893878540037,10962646.0
CARSON CITY,32510,47.401400770276254,1.50850349343659,5.256624043562641,1084232.0
NYE,32023,44.94711585589748,4.6450113520934195,15.545521184577037,1023150.0
LYON,32019,43.63961515976469,5.3826561740943895,18.432211907239125,1243714.0
HUMBOLDT,32013,43.34813700541578,6.257552877548051,21.050838897599878,340566.0
CHURCHILL,32001,35.08132010257325,4.37291853245982,21.097147338496224,510050.0
LANDER,32015,33.177724295556686,3.34572562250487,19.458629869071544,147256.0
ELKO,32007,33.06824910613724,2.62568402616074,17.526872619551416,945200.0
EUREKA,32011,28.15647500007168,6.99614997261543,32.8175253352752,32958.0
WHITE PINE,32033,23.47922119961328,1.0803837812182,19.36195220238428,178670.0
LINCOLN,32017,19.404616535043225,0.89840692167403,21.461294886478477,118744.0
