county_name,county_fips,swing_score_100,margin_change_pct,latest_abs_margin_pct,turnout_latest
WASHINGTON,42125,69.4181748806592,27.65079110030217,49.88297722349684,390095
ERIE,42049,68.36211091688101,14.506982690852018,14.680167202358152,420329
CENTRE,42027,61.28737994211263,8.15384800122761,7.749676270637762,247120
BUCKS,42017,61.09716909639157,7.27316255309074,5.574470433329659,1558444
CUMBERLAND,42041,59.31394409624487,7.5715258920096895,9.150048693885115,545243
NORTHAMPTON,42095,58.46146411765639,6.59979701473353,7.737237869127123,629695
GREENE,42059,57.413624910444014,21.70797962140205,51.67599626815941,60024
DAUPHIN,42043,55.00586109154997,2.99299073278745,2.940967535696515,450464
MONROE,42089,54.76625758447526,2.8465405149464,2.898768296427723,293090
CHESTER,42029,53.0370696990037,7.17298691187256,17.67689297815331,1128592
SCHUYLKILL,42107,52.43894830092477,12.83285885763732,34.45319698639542,221396
LEHIGH,42077,50.266709986631334,2.5161185592497097,8.885871819820645,662895
LUZERNE,42079,49.995752496962915,3.3833658183322104,11.73194088330427,533927
FAYETTE,42051,49.38921321291825,13.70313494560495,41.576910765059225,212428
BEAVER,42007,48.12508900535766,2.8785225597138,13.191493743178583,291362
LACKAWANNA,42069,47.015211133228554,4.37957312834654,19.102173471460492,443070
LANCASTER,42071,46.28219421682138,7.40419083852961,28.702475549496654,977076
BERKS,42011,45.85606920600273,1.4813959542909898,12.763129754666824,654620
DELAWARE,42045,45.42447389152607,7.002403371457699,28.894532679110373,1128871
COLUMBIA,42037,44.652854584394085,5.7734245880756,26.636749496034117,98717
