state_code,county_fips,county_name,year_prev,year_latest,margin_change_abs,closeness_latest,turnout_latest,votes_latest,margin_change_score,closeness_score,turnout_score,votes_score,swing_score
PA,42003,ALLEGHENY,2020,2022,0.0707632713261734,0.6856556601951027,2458705,2458705,0.2495963542625999,0.62852509064543,1.0,1.0,0.7195303612270075
PA,42017,BUCKS,2020,2022,0.0727316255309074,0.9442552956667034,1558444,1558444,0.2567754485692846,0.9651679333585468,0.6327500919898277,0.6327500919898277,0.6218608914768717
PA,42091,MONTGOMERY,2020,2022,0.0461540411744535,0.7142145830530311,1962168,1962168,0.1598401591381669,0.6657028575753199,0.7974441105705491,0.7974441105705491,0.6051078094636463
PA,42029,CHESTER,2020,2022,0.0717298691187256,0.8232310702184669,1128592,1128592,0.2531217851493153,0.8076196088307587,0.4573974915128675,0.4573974915128675,0.4938840942514523
PA,42101,PHILADELPHIA,2020,2022,0.0664963572586035,0.2468172146431757,2052369,2052369,0.2340338206414,0.0572488723592297,0.834240449579376,0.834240449579376,0.4899408980398455
PA,42045,DELAWARE,2020,2022,0.070024033714577,0.7110546732088963,1128871,1128871,0.2469001644630531,0.6615893133674683,0.4575113059781557,0.4575113059781557,0.4558780224467082
PA,42071,LANCASTER,2020,2022,0.0740419083852961,0.7129752445050335,977076,977076,0.2615543873179431,0.6640894970184845,0.3955884860554843,0.3955884860554843,0.4292052141118491
PA,42049,ERIE,2020,2022,0.1450698269085202,0.8531983279764185,420329,420329,0.520611483982435,0.8466307343551851,0.1684707007299627,0.1684707007299627,0.4260459049493863
PA,42125,WASHINGTON,2020,2022,0.2765079110030217,0.5011702277650316,390095,390095,1.0,0.388363497613184,0.1561371288893747,0.1561371288893747,0.4251594388479833
PA,42095,NORTHAMPTON,2020,2022,0.0659979701473353,0.9226276213087288,629695,629695,0.2322160745952741,0.9370132077578538,0.2538788704057098,0.2538788704057098,0.4192467557911368
PA,42041,CUMBERLAND,2020,2022,0.0757152589200969,0.9084995130611488,545243,545243,0.2676575273262728,0.9186213545986244,0.2194277620812627,0.2194277620812627,0.4062836015218557
PA,42133,YORK,2020,2022,0.0525998547036774,0.7278202247191011,834375,834375,0.1833496997982309,0.6834145681082794,0.3373754465891966,0.3373754465891966,0.3853787902712259
PA,42077,LEHIGH,2020,2022,0.0251611855924971,0.9111412818017935,662895,662895,0.0832738126813096,0.922060387051317,0.2674223838378564,0.2674223838378564,0.3850447418520848
PA,42043,DAUPHIN,2020,2022,0.0299299073278745,0.9705903246430349,450464,450464,0.1006665679985557,0.9994506538324436,0.1807638867925451,0.1807638867925451,0.3654112488540224
PA,42011,BERKS,2020,2022,0.0148139595429099,0.8723687024533318,654620,654620,0.04553481659823,0.8715865675218246,0.264046703908609,0.264046703908609,0.3613036979843181
PA,42079,LUZERNE,2020,2022,0.0338336581833221,0.8826805911669573,533927,533927,0.1149045519313544,0.8850104980079039,0.2148115452740888,0.2148115452740888,0.357384535121859
PA,42027,CENTRE,2020,2022,0.0815384800122761,0.9225032372936224,247120,247120,0.2888963131550046,0.936851285687248,0.0978123146435567,0.0978123146435567,0.3553430570323415
PA,42089,MONROE,2020,2022,0.028465405149464,0.9710123170357228,293090,293090,0.0953251516895053,1.0,0.1165651855012609,0.1165651855012609,0.3321138806730068
PA,42069,LACKAWANNA,2020,2022,0.0437957312834654,0.8089782652853951,443070,443070,0.1512387960953406,0.7890654265692305,0.1777475994938316,0.1777475994938316,0.3239498554130586
PA,42107,SCHUYLKILL,2020,2022,0.1283285885763732,0.6554680301360458,221396,221396,0.459551879716033,0.5892270863024623,0.0873185393565525,0.0873185393565525,0.3058540111829001
PA,42129,WESTMORELAND,2020,2022,0.044353367043172,0.6330626077689632,604302,604302,0.1532726372089395,0.5600598948480449,0.2435201223158755,0.2435201223158755,0.3000931941721838
PA,42007,BEAVER,2020,2022,0.028785225597138,0.8680850625682142,291362,291362,0.0964916191624509,0.8660101609447023,0.1158602701033468,0.1158602701033468,0.2985555800784617
PA,42059,GREENE,2020,2022,0.2170797962140205,0.4832400373184059,60024,60024,0.7832503725637266,0.3650221256451538,0.0214889053332887,0.0214889053332887,0.2978125772188645
PA,42051,FAYETTE,2020,2022,0.1370313494560495,0.5842308923494077,212428,212428,0.4912930881496874,0.4964911761086776,0.0836601589812667,0.0836601589812667,0.2887761455552246
PA,42075,LEBANON,2020,2022,0.0473324276109052,0.7105062958144033,281298,281298,0.1641380377093399,0.6608754402615568,0.1117547906099394,0.1117547906099394,0.2621307647976939
PA,42037,COLUMBIA,2020,2022,0.057734245880756,0.7336325050396588,98717,98717,0.2020761456680878,0.690980946019794,0.037273217539013,0.037273217539013,0.2419008816914769
PA,42021,CAMBRIA,2020,2022,0.0965481514016876,0.547793607087274,208825,208825,0.3436404471923502,0.4490574228900248,0.0821903614241575,0.0821903614241575,0.2392696482326725
PA,42019,BUTLER,2020,2022,0.0109633596570531,0.6679736173182037,361146,361146,0.0314906879290148,0.60550675510834,0.1443277562885551,0.1443277562885551,0.2314132389036163
PA,42085,MERCER,2020,2022,0.0294012265228482,0.7019709185207119,222891,222891,0.0987383330557343,0.6497641574844671,0.0879284053981507,0.0879284053981507,0.2310898253341257
PA,42103,PIKE,2020,2022,0.0077657935171301,0.7939222956633887,124060,124060,0.0198283413781964,0.7694656912327467,0.0476115687712688,0.0476115687712688,0.2211292925383702
PA,42073,LAWRENCE,2020,2022,0.0056203387855658,0.7612904361293956,170454,170454,0.0120033158763942,0.7269858094011076,0.0665374049812389,0.0665374049812389,0.2180159838099949
