county_name,county_fips,swing_score_100,margin_change_pct,latest_abs_margin_pct,turnout_latest
WARREN,13301,97.00849541891961,20.23661921375488,0.38823156560320315,75728
BURKE,13033,93.46928058375113,21.52376314285454,9.654247210195743,327980
DOOLY,13093,91.72757724205131,21.13855239953551,10.855176530486844,113918
CLAY,13061,85.79632715245151,16.07894297403356,2.5862068965517238,38744
TAYLOR,13269,83.0240074714635,17.77067529826076,12.098284790832626,108908
BAKER,13007,82.45271319867737,16.79926707300683,9.705566702440404,42862
WILKINSON,13319,80.97939587671794,17.02122828063929,12.527894947305962,155046
TWIGGS,13289,79.4349575418901,14.11960702655491,5.150887573964502,135200
JEFFERSON,13163,78.8733675741679,13.48532979507954,3.8561151079136824,229350
WEBSTER,13307,77.09457606821952,15.029879646665531,11.47319498486814,37008
JENKINS,13165,76.31766974818946,20.95845375085782,32.12540956267536,101938
RANDOLPH,13243,74.52946487035426,11.44351271887728,3.286354763283783,93234
TERRELL,13273,70.85033031037165,9.87520185141268,3.334819679219536,148014
CHATTAHOOCHEE,13053,69.6428333919338,9.99329779843033,5.437489142393881,34538
MUSCOGEE,13215,69.10513000855379,11.66999445307688,11.729433179384841,2830384
TALBOT,13263,66.81517820777597,13.033446538241,19.47458205390652,117240
CHATHAM,13051,64.17181363189923,8.91699616220223,9.650781042209822,3917714
QUITMAN,13239,60.609506451306316,9.05656405737103,15.165343915343922,30240
PEACH,13225,59.84365649175339,7.42246853677076,10.863407853342943,382716
CALHOUN,13037,59.15038557400902,7.417511400714891,11.830698623151449,66674
