tier,county_name,county_fips,swing_score,margin_change_abs,closeness_latest,turnout_latest
A,MILWAUKEE,55079,0.5879851551063229,0.0179173404632012,0.5964147195527919,2547360.0
B,RACINE,55101,0.4831523995008995,0.1303561886564542,0.8436392832354314,606559.0
B,WAUKESHA,55133,0.478418130772763,0.0306582360356248,0.6939222531958466,1662705.0
B,DANE,55025,0.4627052632914433,0.0245937406498442,0.4634185953205411,2185851.0
B,KENOSHA,55059,0.4337819822068096,0.087814427840682,0.9178325053612318,481699.0
B,OUTAGAMIE,55087,0.4157357897437755,0.0870430181541587,0.81594724593673,642832.0
B,WASHINGTON,55131,0.403775340482482,0.1772238378040477,0.5777062147775858,511748.0
C,WINNEBAGO,55139,0.3822985600839516,0.0696100714757323,0.8457415060124164,526078.0
C,COLUMBIA,55021,0.3630770324432066,0.1005329615507726,0.8541888906847691,185610.0
C,BROWN,55009,0.3609230265883576,0.0190526599719296,0.8345779439733416,808151.0
C,OZAUKEE,55089,0.3365324608285117,0.0882179165323771,0.7675325195346017,349636.0
C,ROCK,55105,0.3237718208960956,0.0171696407501363,0.8824105185984745,516951.0
C,MANITOWOC,55071,0.3128088106684518,0.1473482946003539,0.57677707536246,266857.0
C,SAUK,55111,0.3023377013784508,0.0071456448266036,0.9866290043690024,227283.0
C,MARATHON,55073,0.2972016045519052,0.0462613033741216,0.7545816287659208,483016.0
C,JEFFERSON,55055,0.2962865557686192,0.0644966802002792,0.7746805416887232,298474.0
C,PORTAGE,55097,0.2827154063006848,0.0060963286615806,0.9460312977393224,233691.0
C,EAU CLAIRE,55035,0.2824462095042959,0.0027095337446158,0.8950179385751647,380465.0
C,DODGE,55027,0.2766946448609158,0.1378577680214801,0.5214707188852086,285901.0
C,GREEN,55045,0.2720171099036053,0.0085088104150647,0.9555653163207996,138878.0
C,JACKSON,55053,0.2719839612207253,0.0616887931275175,0.829676020325598,61794.0
C,CHIPPEWA,55017,0.2701780349722998,0.075656457827767,0.7170767196940795,225418.0
C,LA CROSSE,55063,0.2650823272162224,0.0038023880184662,0.8540690115192905,383791.0
C,DOUGLAS,55031,0.26397344716794,0.0243436976642349,0.8878318420219893,148527.0
C,VERNON,55123,0.2586063658969884,0.0027675674004168,0.9634242082056246,92985.0
C,GRANT,55043,0.2548624802883633,0.0286706537058197,0.8513768365652705,159605.0
C,BARRON,55005,0.252755843920031,0.0952597957850172,0.6506245547980055,157232.0
C,CRAWFORD,55023,0.2527520876907303,0.0080420819769347,0.9537321377390164,48846.0
D,BAYFIELD,55007,0.2496354703088647,0.0291377291461391,0.8743327432193198,73997.0
D,DOOR,55029,0.2488614856351743,0.0042127453604215,0.9206802800637306,136826.0
D,MARQUETTE,55077,0.242059462204159,0.1283257080352766,0.5750128534704371,48625.0
D,ST CROIX,55109,0.2398927837935101,0.0092834311440875,0.8167062278790957,307119.0
D,FOREST,55041,0.2391139414655417,0.0927571356316806,0.6823403594714872,28987.0
D,RICHLAND,55103,0.2386913316747349,0.0154608981205703,0.8994534539915778,55805.0
D,SHEBOYGAN,55117,0.2363540245731861,0.0544991096601267,0.6389039904316625,395471.0
D,TREMPEALEAU,55121,0.2355303662147729,0.0308961858823686,0.8298580528870773,97642.0
D,DUNN,55033,0.2318134960024675,0.0100329714278175,0.8697632472414212,131952.0
D,LAFAYETTE,55065,0.2258833779930725,0.0260039507825914,0.8428530452242088,52295.0
D,PIERCE,55093,0.225260061548456,0.0042184042513279,0.8688537228078044,142688.0
D,WASHBURN,55129,0.2220930201978059,0.0719571017565957,0.693371899055752,65343.0
D,IOWA,55049,0.2220805128043719,0.0074745369460056,0.8732505570096692,92458.0
D,WALWORTH,55127,0.217953425357783,0.0045104548993644,0.7636656083004162,358729.0
D,WOOD,55141,0.2174729160863098,0.0161498829386733,0.7778094874366798,238273.0
D,CALUMET,55015,0.2098015032493847,0.0683498446014427,0.6285677441540578,186112.0
D,ASHLAND,55003,0.2097086947683987,0.0038029155140735,0.873445290422449,55557.0
D,FOND DU LAC,55039,0.2070642530976299,0.0602659951298428,0.5955137225605143,310547.0
D,ONEIDA,55085,0.2055746048646802,0.0024718765355434,0.8335699178105527,140894.0
D,IRON,55051,0.1997979108369906,0.0408823343797994,0.7549930864956215,26036.0
D,ADAMS,55001,0.1974159290148222,0.048789819694028,0.7092318306592487,68123.0
D,SAWYER,55113,0.1941587252832667,0.0006705257238987,0.8449978720594062,68141.0
D,MONROE,55081,0.1921540051650478,0.0177662148866077,0.7683854537035506,120938.0
D,SHAWANO,55115,0.1889979178309519,0.0807820423606427,0.5737845052135835,124003.0
D,BUFFALO,55011,0.1864947025987643,0.0261268652784344,0.7615092791961448,48765.0
D,LINCOLN,55069,0.1819188263580331,0.0353861045156289,0.7060168368873125,93604.0
D,WAUSHARA,55137,0.1802082841249187,0.0879463341368108,0.5538514018814207,76219.0
D,PRICE,55099,0.1676548954287669,0.0240256456305226,0.7252545752332122,56172.0
D,GREEN LAKE,55047,0.1643010024819007,0.1002854521130618,0.4915967113803549,57775.0
D,CLARK,55019,0.1567298927546648,0.068585647576324,0.5559383778089888,91136.0
D,POLK,55095,0.1544878370974777,0.0026654027248095,0.7252239964748095,142971.0
D,WAUPACA,55135,0.1532354766146234,0.0542585456891031,0.5626788458895122,160054.0
D,VILAS,55125,0.152992653949014,0.0027277084448515,0.7429500848600896,91916.0
D,RUSK,55107,0.1484472297826846,0.033618257806123,0.6587734442438986,50972.0
D,MENOMINEE,55078,0.1450631122036088,0.0692803269277769,0.5636676499508357,8136.0
