tier,county_name,county_fips,swing_score,margin_change_abs,closeness_latest,turnout_latest
S,ALLEGHENY,42003,0.7195303612270075,0.0707632713261734,0.6856556601951027,2458705.0
A,BUCKS,42017,0.6218608914768717,0.0727316255309074,0.9442552956667034,1558444.0
A,MONTGOMERY,42091,0.6051078094636463,0.0461540411744535,0.7142145830530311,1962168.0
B,CHESTER,42029,0.4938840942514523,0.0717298691187256,0.8232310702184669,1128592.0
B,PHILADELPHIA,42101,0.4899408980398455,0.0664963572586035,0.2468172146431757,2052369.0
B,DELAWARE,42045,0.4558780224467082,0.070024033714577,0.7110546732088963,1128871.0
B,LANCASTER,42071,0.4292052141118491,0.0740419083852961,0.7129752445050335,977076.0
B,ERIE,42049,0.4260459049493863,0.1450698269085202,0.8531983279764185,420329.0
B,WASHINGTON,42125,0.4251594388479833,0.2765079110030217,0.5011702277650316,390095.0
B,NORTHAMPTON,42095,0.4192467557911368,0.0659979701473353,0.9226276213087288,629695.0
B,CUMBERLAND,42041,0.4062836015218557,0.0757152589200969,0.9084995130611488,545243.0
C,YORK,42133,0.3853787902712259,0.0525998547036774,0.7278202247191011,834375.0
C,LEHIGH,42077,0.3850447418520848,0.0251611855924971,0.9111412818017935,662895.0
C,DAUPHIN,42043,0.3654112488540224,0.0299299073278745,0.9705903246430349,450464.0
C,BERKS,42011,0.3613036979843181,0.0148139595429099,0.8723687024533318,654620.0
C,LUZERNE,42079,0.357384535121859,0.0338336581833221,0.8826805911669573,533927.0
C,CENTRE,42027,0.3553430570323415,0.0815384800122761,0.9225032372936224,247120.0
C,MONROE,42089,0.3321138806730068,0.028465405149464,0.9710123170357228,293090.0
C,LACKAWANNA,42069,0.3239498554130586,0.0437957312834654,0.8089782652853951,443070.0
C,SCHUYLKILL,42107,0.3058540111829001,0.1283285885763732,0.6554680301360458,221396.0
C,WESTMORELAND,42129,0.3000931941721838,0.044353367043172,0.6330626077689632,604302.0
C,BEAVER,42007,0.2985555800784617,0.028785225597138,0.8680850625682142,291362.0
C,GREENE,42059,0.2978125772188645,0.2170797962140205,0.4832400373184059,60024.0
C,FAYETTE,42051,0.2887761455552246,0.1370313494560495,0.5842308923494077,212428.0
C,LEBANON,42075,0.2621307647976939,0.0473324276109052,0.7105062958144033,281298.0
D,COLUMBIA,42037,0.2419008816914769,0.057734245880756,0.7336325050396588,98717.0
D,CAMBRIA,42021,0.2392696482326725,0.0965481514016876,0.547793607087274,208825.0
D,BUTLER,42019,0.2314132389036163,0.0109633596570531,0.6679736173182037,361146.0
D,MERCER,42085,0.2310898253341257,0.0294012265228482,0.7019709185207119,222891.0
D,PIKE,42103,0.2211292925383702,0.0077657935171301,0.7939222956633887,124060.0
D,LAWRENCE,42073,0.2180159838099949,0.0056203387855658,0.7612904361293956,170454.0
D,CARBON,42025,0.2071549853309814,0.0233663612755932,0.7196186460978298,104365.0
D,INDIANA,42063,0.2070403993481916,0.0839960173751281,0.5377588703248792,122938.0
D,FRANKLIN,42055,0.2053575451970807,0.1170676101946843,0.3671407060398193,239080.0
D,NORTHUMBERLAND,42097,0.1975782963310328,0.0527797544968342,0.5922056615746545,129222.0
D,ARMSTRONG,42005,0.1969578751696722,0.0781844367424239,0.5298214015033303,112151.0
D,LYCOMING,42081,0.195528520782263,0.0762216199755393,0.4904023437058151,176814.0
D,UNION,42119,0.1923221952636207,0.0109044742205816,0.7355816621689317,61883.0
D,BLAIR,42013,0.1844969914431745,0.0693416276491582,0.4382743175864109,236660.0
D,CRAWFORD,42039,0.1750859654442793,0.0124374665000162,0.6153623456219779,162345.0
D,CLINTON,42035,0.1722145202795253,0.0102640634642594,0.6792156862745098,56100.0
D,WAYNE,42127,0.1657074038024819,0.0093403015151226,0.6284880155948274,109267.0
D,MONTOUR,42093,0.1632145850209972,0.0089947853859306,0.6716754826319868,29681.0
D,ADAMS,42001,0.1605215499823609,0.0208674839420121,0.5414145897082525,171244.0
D,ELK,42047,0.156836141181041,0.0267803162820333,0.5866639777060721,54544.0
D,WARREN,42123,0.1481876419442818,0.0297303358218424,0.5480336012410674,60593.0
D,SOMERSET,42111,0.1399979177184066,0.0839644061539471,0.3121711634657751,154332.0
D,VENANGO,42121,0.1282225134284967,0.0111000520845356,0.5269596453107926,79619.0
D,HUNTINGDON,42061,0.1281252172246982,0.0375998844471124,0.4467216810966811,88704.0
D,WYOMING,42131,0.1272683083687163,0.006875975450228,0.5502408384353441,56677.0
D,CLEARFIELD,42033,0.1243215373725236,0.0116255585864675,0.4862611917258412,123082.0
D,SUSQUEHANNA,42115,0.1192680829110628,0.0076342544656787,0.5066355810616929,83640.0
D,PERRY,42099,0.1133921078056078,0.0437738592135532,0.3809579650970651,93803.0
D,SNYDER,42109,0.1110379911502366,0.0210286444370317,0.4596353051964729,58405.0
D,FOREST,42053,0.1092476809775132,0.0135310669762594,0.5064443656142841,8457.0
D,SULLIVAN,42113,0.104419324041717,0.0134082751075753,0.4900627615062761,11472.0
D,CLARION,42031,0.1040330055758905,0.017652929723936,0.4469554088643406,59384.0
D,BRADFORD,42015,0.1013841852371902,0.004128094806385,0.4570173120126867,90804.0
D,MCKEAN,42083,0.1011205110740053,0.0198190019064842,0.4334309924387292,57001.0
D,TIOGA,42117,0.0945727364171968,0.0250892279829982,0.3939313902181344,64364.0
D,JEFFERSON,42065,0.0862806383595489,0.0216026203218752,0.3757521631553518,68303.0
D,CAMERON,42023,0.0836646458982273,0.0023292861448376,0.459915611814346,7347.0
D,MIFFLIN,42087,0.0779584246648386,0.0063843222348758,0.3853674352483446,80191.0
