tier,county_name,county_fips,swing_score,margin_change_abs,closeness_latest,turnout_latest
S,CLARK,32003,0.7540997137640462,0.0108370232883794,0.9811011630494084,40855530.0
C,WASHOE,32031,0.3839760219997757,0.0052042009070257,0.99151810612146,10962646.0
C,MINERAL,32021,0.3164946261869678,0.0882534696553947,0.844611869046811,88398.0
C,ESMERALDA,32009,0.2876341635142264,0.1201995950729568,0.7199503153067075,20932.0
C,DOUGLAS,32005,0.2810829117076122,0.0603652634695856,0.8542849598979411,1530096.0
C,STOREY,32029,0.278762078660991,0.076371982645401,0.8288829329627424,120888.0
C,PERSHING,32027,0.2610991105488608,0.0888532628092049,0.7721363804589193,86464.0
C,CARSON CITY,32510,0.25002660061587,0.0150850349343659,0.9474337595643736,1084232.0
D,NYE,32023,0.2370072563509747,0.0464501135209342,0.8445447881542296,1023150.0
D,LYON,32019,0.233170452899242,0.0538265617409439,0.8156778809276087,1243714.0
D,HUMBOLDT,32013,0.2206544495264869,0.0625755287754805,0.7894916110240012,340566.0
D,CHURCHILL,32001,0.1813956150245311,0.0437291853245982,0.7890285266150378,510050.0
D,ELKO,32007,0.1766584623672521,0.0262568402616074,0.8247312738044859,945200.0
D,LANDER,32015,0.1674353980616988,0.0334572562250487,0.8054137013092846,147256.0
D,EUREKA,32011,0.1409296275825927,0.0699614997261543,0.671824746647248,32958.0
D,WHITE PINE,32033,0.1193275318933329,0.010803837812182,0.8063804779761572,178670.0
D,LINCOLN,32017,0.0982207435411318,0.0089840692167403,0.7853870511352152,118744.0
