tier,county_name,county_fips,swing_score,margin_change_abs,closeness_latest,turnout_latest
S,MECKLENBURG,37119,0.7124979076390674,0.2006479913789757,0.4688812874241547,20160442.0
A,WAKE,37183,0.6866826732458234,0.0119744389229435,0.7751294854638722,21234816.0
B,CABARRUS,37025,0.4111690061613832,0.2583897008864523,0.6325651795465808,3265058.0
B,FORSYTH,37067,0.406882783404195,0.04224442303997,0.9198049528497992,6422242.0
C,HYDE,37095,0.393074004493305,0.2303540781822622,0.8827441768318569,70666.0
C,BUNCOMBE,37021,0.3849637090058585,0.1394555029467286,0.6567404946436461,5789946.0
C,PASQUOTANK,37139,0.3702438644705234,0.2255245414090193,0.7834068873286526,598200.0
C,JOHNSTON,37101,0.3680803984774465,0.2458282403288164,0.5129117162949907,3464218.0
C,DARE,37055,0.3628151806911983,0.3203533143940679,0.5132053091299985,755378.0
C,TYRRELL,37177,0.3537409437852393,0.145907875521564,0.970287458661918,39310.0
C,NEW HANOVER,37129,0.3523849285776057,0.0115784911424443,0.9930620496574648,4149064.0
C,WATAUGA,37189,0.3500180230160253,0.1329031920533956,0.9283665140739964,877718.0
C,GUILFORD,37081,0.3476129492927331,0.0355687507801051,0.7345588946083763,6620640.0
C,CUMBERLAND,37051,0.3414781301192559,0.1055919587741471,0.714062009920658,4304150.0
C,MARTIN,37117,0.339175017806989,0.1706414165456318,0.8443956165443666,289452.0
C,ROBESON,37155,0.3342687896231933,0.1194627420259637,0.9141012266543586,849302.0
C,GREENE,37079,0.3319786704801443,0.1086991638939023,0.97868907784372,242974.0
C,SAMPSON,37163,0.3288411357800929,0.2867136806729391,0.5054442492569285,539652.0
C,ROCKINGHAM,37157,0.3270102020614663,0.2992018050977211,0.4043507116834582,1404276.0
C,CHATHAM,37037,0.3268731967612057,0.1548282421609843,0.7453511010906299,1625116.0
C,BRUNSWICK,37019,0.3241451554920667,0.2111494445889776,0.5138547323153175,2743900.0
C,HARNETT,37085,0.3190655697747565,0.2177710556836061,0.5981387896179093,1175794.0
C,CHOWAN,37041,0.3171679501735724,0.2322065032327993,0.628938957974492,200878.0
C,CATAWBA,37035,0.3170261181963348,0.2558148640768722,0.3730845887224406,2845864.0
C,ALAMANCE,37001,0.3146777976374164,0.0853994637581587,0.8340179526383416,2228976.0
C,GASTON,37071,0.3135385661123999,0.1712171299680519,0.550623755619679,3130072.0
C,ONSLOW,37133,0.3095768265626465,0.2474991150816349,0.45304831598144,1732760.0
C,BLADEN,37017,0.3090733004332666,0.1806046340721646,0.7100707585979924,486160.0
C,LENOIR,37107,0.3081545549297295,0.1168950358266375,0.8561117409760857,606832.0
C,UNION,37179,0.3069471058956819,0.125047345871084,0.607556926446593,3623272.0
C,GRANVILLE,37077,0.3065658077652482,0.1285483520119172,0.8221413458026345,607786.0
C,CRAVEN,37049,0.3044218288166088,0.1876216375530064,0.6235454110953619,1217698.0
C,WILSON,37195,0.2985584425558347,0.0953983091810596,0.8594032145192562,871670.0
C,HENDERSON,37089,0.2954452592025189,0.1659407390016457,0.5945127582116752,1949176.0
C,PITT,37147,0.2941663745759104,0.0308024026811898,0.9357851373878576,1810422.0
C,NASH,37127,0.2882669243982099,0.0171672322490552,0.9993930406593784,1159880.0
C,LEE,37105,0.2868532693549254,0.1126638301769031,0.7906369936770026,724340.0
C,WASHINGTON,37187,0.2848390586145538,0.1527002718978121,0.728720387417652,137526.0
C,RICHMOND,37153,0.2836347615167934,0.0355702682910902,0.9922310632165904,446908.0
C,HAYWOOD,37087,0.2830905755781757,0.0777097172493346,0.8270807746125404,1239226.0
C,CARTERET,37031,0.2804419830826335,0.2874022800559487,0.2906730455905442,1350280.0
C,IREDELL,37097,0.2785688678450189,0.1868027697998451,0.4585919985657662,2365026.0
C,CASWELL,37033,0.2764472222939848,0.1341854158256621,0.7372869388389138,283252.0
C,BEAUFORT,37013,0.276397220585029,0.0854831356201971,0.8355717140091046,582564.0
C,MADISON,37115,0.2757288578028219,0.0742628669163309,0.8764496503939669,378712.0
C,FRANKLIN,37069,0.2750409816863493,0.0933760967762798,0.7938948382482448,822124.0
C,HOKE,37093,0.2699956394786353,0.0493783472574379,0.9098130696261392,516128.0
C,WAYNE,37191,0.2680357446081066,0.0615447350902426,0.8271913295976264,1137848.0
C,BURKE,37023,0.2669350126420076,0.2296619727898963,0.3905491018069842,1358728.0
C,ROWAN,37159,0.2664072390298526,0.1584820709090858,0.4897720513023593,2373692.0
C,DUPLIN,37061,0.263581458769503,0.1503516199763601,0.6418210183894311,482016.0
C,PENDER,37141,0.2604491420730539,0.1792742132610743,0.5259185746427382,943146.0
C,DAVIDSON,37057,0.2589907841028315,0.1837397465140623,0.3501730672007592,3093596.0
C,CLEVELAND,37045,0.2574874875337911,0.1709810851238651,0.5106300436901723,1299148.0
C,MOORE,37125,0.2571296481033152,0.1278326587834062,0.5804366016766833,1783044.0
C,COLUMBUS,37047,0.25364044871266,0.144441066799276,0.6109796145612829,671754.0
C,MONTGOMERY,37123,0.2536105584016798,0.2069483656727038,0.4823825980376671,316562.0
C,JONES,37103,0.2527820432501502,0.1239911975663037,0.6984288459364756,141552.0
C,JACKSON,37099,0.2518015343743693,0.0130900633585402,0.9375665459507329,580426.0
D,SCOTLAND,37165,0.247573107824318,0.0272466052168979,0.9046227560349366,372332.0
D,DAVIE,37059,0.2474342025033237,0.2675819336070568,0.2712995735265088,871332.0
D,ORANGE,37135,0.2463690070047039,0.205080041106343,0.2898050244875885,2658898.0
D,ANSON,37007,0.2384227193287863,0.0529776621748032,0.8230538520076995,223390.0
