state_code,county_fips,county_name,year_prev,year_latest,margin_change_abs,closeness_latest,turnout_latest,votes_latest,margin_change_score,closeness_score,turnout_score,votes_score,swing_score,swing_score_100
GA,13121.0,FULTON,2020,2022,0.070386694199014,0.7027626578981362,17449066,17449066,0.3266918601728792,0.5864847544948777,1.0,1.0,0.7282941536669392,72.83
GA,13067.0,COBB,2020,2022,0.0289303847195026,0.9500530508280032,12580388,12580388,0.1339912042184315,0.9350669785064174,0.7205023185088154,0.7205023185088154,0.6275157049356199,62.75
GA,13135.0,GWINNETT,2020,2022,0.0121045394643112,0.8603770567758283,11706672,11706672,0.0557799148303622,0.8086590858390381,0.6703446378649627,0.6703446378649627,0.5512820690998315,55.13
GA,13301.0,WARREN,2020,2022,0.2023661921375488,0.996117684343968,75728,75728,0.940169908378392,1.0,0.0026434915673836,0.0026434915673836,0.4863642228782898,48.64
GA,13033.0,BURKE,2020,2022,0.2152376314285454,0.9034575278980426,327980,327980,1.0,0.8693856116750227,0.0171245989956247,0.0171245989956247,0.4759087024165681,47.59
GA,13089.0,DEKALB,2020,2022,0.0582502083154484,0.5156281652019312,11314444,11314444,0.2702780399339881,0.3226986976228079,0.6478278855523381,0.6478278855523381,0.472158127165368,47.22
GA,13093.0,DOOLY,2020,2022,0.2113855239953551,0.8914482346951316,113918,113918,0.9820943147496124,0.8524572300914137,0.0048358765343393,0.0048358765343393,0.4610558244774263,46.11
GA,13051.0,CHATHAM,2020,2022,0.0891699616220223,0.9034921895779018,3917714,3917714,0.4140018016226931,0.8694344710152913,0.2232015525690744,0.2232015525690744,0.4324598444440333,43.25
GA,13061.0,CLAY,2020,2022,0.1607894297403356,0.9741379310344828,38744,38744,0.7469093531819666,0.9690171898670636,0.0005203398099106,0.0005203398099106,0.4292418056672129,42.92
GA,13215.0,MUSCOGEE,2020,2022,0.1166999445307688,0.8827056682061516,2830384,2830384,0.5419689514132953,0.8401336487577803,0.1607808679364473,0.1607808679364473,0.4259160840109925,42.59
GA,13269.0,TAYLOR,2020,2022,0.1777067529826076,0.8790171520916737,108908,108908,0.8255458581364269,0.8349342912928434,0.0045482659377316,0.0045482659377316,0.4173941703261833,41.74
GA,13007.0,BAKER,2020,2022,0.1679926707300683,0.902944332975596,42862,42862,0.7803920553604001,0.8686622086131474,0.0007567430907151,0.0007567430907151,0.4126419375387444,41.26
GA,13319.0,WILKINSON,2020,2022,0.1702122828063929,0.8747210505269404,155046,155046,0.7907094402999245,0.8288784772344342,0.0071969241625393,0.0071969241625393,0.4084954414648594,40.85
GA,13289.0,TWIGGS,2020,2022,0.1411960702655491,0.948491124260355,135200,135200,0.6558338746710621,0.93286527616674,0.0060576187932226,0.0060576187932226,0.4002035971060618,40.02
GA,13163.0,JEFFERSON,2020,2022,0.1348532979507954,0.9614388489208632,229350,229350,0.6263508743517304,0.9511164771316276,0.0114625165318685,0.0114625165318685,0.4000980961367737,40.01
GA,13307.0,WEBSTER,2020,2022,0.1502987964666553,0.8852680501513186,37008,37008,0.6981459215452253,0.8437455998191652,0.0004206807289303,0.0004206807289303,0.3856832207055628,38.57
GA,13165.0,JENKINS,2020,2022,0.2095845375085782,0.6787459043732464,101938,101938,0.97372281999467,0.5526305749691193,0.0041481370238882,0.0041481370238882,0.3836624172528914,38.37
GA,13243.0,RANDOLPH,2020,2022,0.1144351271887728,0.9671364523671622,93234,93234,0.5314414396087208,0.9591478577983644,0.0036484638436739,0.0036484638436739,0.3744715562736083,37.45
GA,13273.0,TERRELL,2020,2022,0.0987520185141268,0.9666518032078046,148014,148014,0.4585419131686556,0.9584646930387772,0.0067932359958037,0.0067932359958037,0.3576482695497601,35.76
GA,13151.0,HENRY,2020,2022,0.0533047825989892,0.8102754977826842,3704930,3704930,0.2472903019635675,0.7380355866672421,0.2109861966432112,0.2109861966432112,0.351824570479308,35.18
GA,13053.0,CHATTAHOOCHEE,2020,2022,0.0999329779843033,0.9456251085760612,34538,34538,0.4640313469223064,0.9288253209163698,0.0002788846862914,0.0002788846862914,0.3483536093028148,34.84
GA,13263.0,TALBOT,2020,2022,0.13033446538241,0.8052541794609348,117240,117240,0.6053460620322316,0.7309575021232878,0.005026583600593,0.005026583600593,0.3365891828391763,33.66
GA,13113.0,FAYETTE,2020,2022,0.0313552161866979,0.9121532805042364,2189450,2189450,0.1452625069507321,0.8816432038402825,0.1239865744980908,0.1239865744980908,0.318719714946799,31.87
GA,13245.0,RICHMOND,2020,2022,0.0802980428862931,0.7093769736770641,2577676,2577676,0.3727626131514061,0.5958083391162472,0.1462735827772574,0.1462735827772574,0.315279529455542,31.53
GA,13225.0,PEACH,2020,2022,0.0742246853677076,0.8913659214665706,382716,382716,0.3445319290318824,0.8523412008031854,0.0202668452263472,0.0202668452263472,0.3093517050719406,30.94
GA,13275.0,THOMAS,2020,2022,0.1125593402824451,0.7439169782691162,590496,590496,0.5227222513399545,0.6444961650985567,0.032194934999431,0.032194934999431,0.3079020716093433,30.79
GA,13293.0,UPSON,2020,2022,0.1134378120893268,0.7504011011281497,473696,473696,0.5268056368498794,0.6536362288923289,0.0254897618090557,0.0254897618090557,0.3078553473400799,30.79
GA,13021.0,BIBB,2020,2022,0.0514414968318271,0.8343457691253144,1830898,1830898,0.2386292225266682,0.7719652052737963,0.1034030705789515,0.1034030705789515,0.3043501422395919,30.44
GA,13239.0,QUITMAN,2020,2022,0.0905656405737103,0.8483465608465608,30240,30240,0.4204893122783392,0.7917008167477873,3.2148090638786005e-05,3.2148090638786005e-05,0.303063606301851,30.31
